10:09 30SEP21    GOP Ijarah Sukuk Revaluation          PK99999            PKISRV,,,,,,,,,,
GOP IJARAH SUKUK:- <0#PKISRV=>                                                  ,,,,,,,,,,
,,,,,,,,,,
                 ,  BMA, C&M, CMK,  IONE,  JSCM, MCP,  SCPL, VCPL  ,Avg Rate,
,,,,,,,,,,
GOPIS 30-04-2025 ,97.80,97.80,97.80,97.80,97.82,97.80,97.80,97.80,97.80,
GOPIS 29-05-2025 ,100.65,100.70,100.75,100.75,100.70,100.80,100.80,100.80,100.76,
GOPIS 24-06-2025 ,100.80,100.80,100.85,101.00,100.75,100.80,100.80,100.90,100.83,
GOPISV-29-07-2025,100.50,100.60,100.65,100.65,100.50,100.65,100.70,100.55,100.61,
GOPISF-29-07-2025,99.90,99.90,99.90,99.90,99.90,99.90,99.85,99.85,99.89,
GOPISV-09-12-2025,101.00,101.10,101.10,101.00,101.00,101.10,101.05,101.15,101.06,
GOPISF-20-01-2026,101.20,101.25,101.25,101.30,101.20,101.25,101.25,101.30,101.25,
,,,       ,       ,      ,       ,       ,      ,       ,
